component_id,component_name,metal_type,form_factor,industry_usage,unit_weight_kg,source_type,source_country,lead_time_days,base_price_per_kg,freight_cost_per_kg,customs_duty_percent,local_tax_percent,exchange_rate_multiplier,total_landed_cost_inr,recommended_source
11,Comp_00011,Copper,Foil,Wearable,4.33,Local,India,8,1472.61,108.86,0.0,18,1.0,8080.362817999999,Import
11,Comp_00011,Copper,Foil,Wearable,4.33,Import,Japan,39,1004.8,36.7,1.78,18,0.97,5253.676881766599,Import
12,Comp_00012,Aluminum,Sheet,Automotive,4.1,Local,India,13,945.42,60.31,0.0,18,1.0,4865.721739999999,Import
12,Comp_00012,Aluminum,Sheet,Automotive,4.1,Import,USA,26,686.27,34.86,1.18,18,1.15,4059.4943625757996,Import
13,Comp_00013,Copper,Sheet,Toys,4.17,Local,India,2,923.14,67.61,0.0,18,1.0,4875.084449999999,Import
13,Comp_00013,Copper,Sheet,Toys,4.17,Import,Japan,21,664.46,17.24,3.58,18,1.06,3682.9271485629606,Import
14,Comp_00014,Aluminum,Wire,Wearable,2.5,Local,India,3,1462.2,77.62,0.0,18,1.0,4542.469,Import
14,Comp_00014,Aluminum,Wire,Wearable,2.5,Import,USA,25,1340.49,36.79,6.39,18,0.98,4236.148163072,Import
15,Comp_00015,Silver,Coil,Consumer,3.33,Local,India,4,1054.17,96.89,0.0,18,1.0,4522.975164,Import
15,Comp_00015,Silver,Coil,Consumer,3.33,Import,Germany,18,816.28,14.81,5.53,18,1.03,3549.6657519151136,Import
16,Comp_00016,Copper,Coil,Consumer,7.38,Local,India,11,1046.35,83.32,0.0,18,1.0,9837.618228,Import
16,Comp_00016,Copper,Coil,Consumer,7.38,Import,China,35,762.76,43.0,7.86,18,1.05,7946.82754129152,Import
17,Comp_00017,Tin,Foil,Consumer,5.63,Local,India,10,1517.85,55.1,0.0,18,1.0,10449.736029999998,Import
17,Comp_00017,Tin,Foil,Consumer,5.63,Import,China,12,1175.73,46.3,6.85,18,1.03,8934.783243126609,Import
18,Comp_00018,Nickel,Coil,Automotive,1.7,Local,India,4,1528.99,88.51,0.0,18,1.0,3244.705,Import
18,Comp_00018,Nickel,Coil,Automotive,1.7,Import,Germany,34,1202.0,57.01,0.04,18,0.98,2476.0526038315197,Import
19,Comp_00019,Tin,Sheet,Wearable,6.55,Local,India,2,1056.99,96.97,0.0,18,1.0,8918.956839999999,Import
19,Comp_00019,Tin,Sheet,Wearable,6.55,Import,China,33,895.21,18.94,5.2,18,1.12,8324.813893984001,Import
20,Comp_00020,Copper,Wire,Consumer,5.14,Local,India,7,1345.43,60.04,0.0,18,1.0,8524.456644,Local
20,Comp_00020,Copper,Wire,Consumer,5.14,Import,China,17,1465.77,34.34,5.05,18,1.11,10609.313138246458,Local
21,Comp_00021,Nickel,Coil,Automotive,2.03,Local,India,4,1405.72,62.46,0.0,18,1.0,3516.878371999999,Local
21,Comp_00021,Nickel,Coil,Automotive,2.03,Import,South Korea,21,1383.62,12.18,7.52,18,1.14,4098.220734504958,Local
22,Comp_00022,Aluminum,Wire,Automotive,9.54,Local,India,4,1131.53,84.22,0.0,18,1.0,13685.940899999998,Local
22,Comp_00022,Aluminum,Wire,Automotive,9.54,Import,USA,38,1233.56,13.77,3.08,18,1.12,16210.790096368895,Local
23,Comp_00023,Tin,Foil,Toys,9.37,Local,India,9,1387.22,85.6,0.0,18,1.0,16284.381611999996,Import
23,Comp_00023,Tin,Foil,Toys,9.37,Import,Germany,32,977.24,43.56,1.12,18,1.05,11983.636292812798,Import
24,Comp_00024,Tin,Foil,Automotive,1.45,Local,India,11,1396.24,84.23,0.0,18,1.0,2533.08417,Import
24,Comp_00024,Tin,Foil,Automotive,1.45,Import,China,34,1402.78,50.51,4.89,18,0.97,2529.92772501927,Import
25,Comp_00025,Nickel,Foil,Consumer,6.53,Local,India,13,1391.38,103.66,0.0,18,1.0,11519.881216000002,Local
25,Comp_00025,Nickel,Foil,Consumer,6.53,Import,USA,11,1451.64,11.38,0.75,18,1.07,12152.742172881703,Local
26,Comp_00026,Copper,Sheet,Industrial,8.41,Local,India,11,1502.28,60.02,0.0,18,1.0,15503.952739999999,Local
26,Comp_00026,Copper,Sheet,Industrial,8.41,Import,Japan,37,1519.26,28.01,2.61,18,1.12,17646.22524501603,Local
27,Comp_00027,Nickel,Wire,Industrial,4.63,Local,India,4,1489.42,55.55,0.0,18,1.0,8440.789098,Local
27,Comp_00027,Nickel,Wire,Industrial,4.63,Import,USA,22,1368.35,46.3,7.76,18,1.09,9078.123421445038,Local
28,Comp_00028,Copper,Wire,Wearable,4.45,Local,India,6,954.92,42.03,0.0,18,1.0,5234.984449999999,Import
28,Comp_00028,Copper,Wire,Wearable,4.45,Import,China,21,611.57,31.42,3.27,18,0.98,3417.0118875425396,Import
29,Comp_00029,Tin,Wire,Automotive,6.64,Local,India,8,1095.95,116.39,0.0,18,1.0,9498.926368,Import
29,Comp_00029,Tin,Wire,Automotive,6.64,Import,USA,38,1017.65,31.78,3.36,18,1.0,8498.769732249599,Import
30,Comp_00030,Silver,Sheet,Automotive,3.48,Local,India,5,964.26,47.53,0.0,18,1.0,4154.814456,Import
30,Comp_00030,Silver,Sheet,Automotive,3.48,Import,China,35,663.09,10.86,3.93,18,1.04,2991.32220962016,Import
31,Comp_00031,Silver,Coil,Toys,6.2,Local,India,11,1344.57,43.62,0.0,18,1.0,10155.998039999997,Local
31,Comp_00031,Silver,Coil,Toys,6.2,Import,Germany,10,1227.5,35.16,4.32,18,1.09,10503.987487329281,Local
32,Comp_00032,Copper,Wire,Wearable,8.03,Local,India,2,1374.02,85.87,0.0,18,1.0,13833.041705999996,Import
32,Comp_00032,Copper,Wire,Wearable,8.03,Import,Germany,14,1139.24,37.28,5.01,18,1.11,12994.228639858487,Import
33,Comp_00033,Aluminum,Wire,Industrial,0.79,Local,India,4,970.54,41.46,0.0,18,1.0,943.3864,Local
33,Comp_00033,Aluminum,Wire,Industrial,0.79,Import,Germany,35,882.34,26.83,2.55,18,1.12,973.4370743854402,Local
34,Comp_00034,Tin,Coil,Automotive,5.01,Local,India,12,1385.02,67.87,0.0,18,1.0,8589.195101999998,Local
34,Comp_00034,Tin,Coil,Automotive,5.01,Import,South Korea,30,1438.67,46.75,7.74,18,1.06,10028.866188014063,Local
35,Comp_00035,Copper,Wire,Wearable,9.91,Local,India,8,1188.83,69.76,0.0,18,1.0,14717.699741999999,Import
35,Comp_00035,Copper,Wire,Wearable,9.91,Import,China,14,1058.38,53.36,1.91,18,1.09,14441.163766328627,Import
36,Comp_00036,Aluminum,Foil,Automotive,5.39,Local,India,14,1247.59,71.17,0.0,18,1.0,8387.577352,Local
36,Comp_00036,Aluminum,Foil,Automotive,5.39,Import,China,21,1307.18,29.46,7.67,18,1.12,10251.748935386111,Local
37,Comp_00037,Nickel,Sheet,Consumer,5.78,Local,India,4,1342.29,75.88,0.0,18,1.0,9672.486668,Local
37,Comp_00037,Nickel,Sheet,Consumer,5.78,Import,China,30,1209.7,37.69,6.02,18,1.11,10012.047065433435,Local
38,Comp_00038,Silver,Foil,Toys,9.75,Local,India,4,1597.15,44.47,0.0,18,1.0,18886.8381,Local
38,Comp_00038,Silver,Foil,Toys,9.75,Import,Germany,27,1667.19,27.55,7.75,18,1.09,22899.894406057494,Local
39,Comp_00039,Nickel,Foil,Industrial,8.4,Local,India,10,1198.26,57.81,0.0,18,1.0,12450.165839999998,Local
39,Comp_00039,Nickel,Foil,Industrial,8.4,Import,South Korea,14,1211.36,45.31,4.11,18,1.0,12968.059285943997,Local
40,Comp_00040,Copper,Sheet,Consumer,2.44,Local,India,5,1535.39,87.35,0.0,18,1.0,4672.193007999999,Import
40,Comp_00040,Copper,Sheet,Consumer,2.44,Import,Germany,38,1210.09,14.18,3.02,18,1.09,3958.1940773409124,Import
41,Comp_00041,Tin,Coil,Wearable,2.61,Local,India,5,1183.64,85.72,0.0,18,1.0,3909.374928,Import
41,Comp_00041,Tin,Coil,Wearable,2.61,Import,Japan,18,780.5,15.88,5.95,18,1.09,2832.50260800702,Import
42,Comp_00042,Copper,Coil,Consumer,2.93,Local,India,7,1508.02,57.89,0.0,18,1.0,5413.977234000001,Local
42,Comp_00042,Copper,Coil,Consumer,2.93,Import,South Korea,22,1509.61,58.9,0.35,18,1.13,6149.399948024669,Local
43,Comp_00043,Aluminum,Wire,Industrial,2.6,Local,India,10,1386.79,46.03,0.0,18,1.0,4395.8917599999995,Import
43,Comp_00043,Aluminum,Wire,Industrial,2.6,Import,China,10,982.41,24.72,5.02,18,1.07,3472.13561595576,Import
44,Comp_00044,Aluminum,Wire,Toys,9.51,Local,India,13,1523.18,76.45,0.0,18,1.0,17950.727934000002,Import
44,Comp_00044,Aluminum,Wire,Toys,9.51,Import,Germany,13,1169.54,18.48,3.71,18,1.02,14102.856348279909,Import
45,Comp_00045,Nickel,Wire,Industrial,9.75,Local,India,2,1590.35,95.85,0.0,18,1.0,19399.730999999996,Import
45,Comp_00045,Nickel,Wire,Industrial,9.75,Import,USA,22,1176.67,30.56,5.48,18,0.98,14357.3021114796,Import
46,Comp_00046,Silver,Sheet,Toys,4.22,Local,India,11,1306.81,113.53,0.0,18,1.0,7072.725063999999,Local
46,Comp_00046,Silver,Sheet,Toys,4.22,Import,China,22,1393.54,53.3,1.32,18,1.03,7518.779887892544,Local
47,Comp_00047,Tin,Wire,Automotive,3.83,Local,India,12,1424.7,71.44,0.0,18,1.0,6761.655116000001,Import
47,Comp_00047,Tin,Wire,Automotive,3.83,Import,South Korea,11,1454.7,51.92,0.29,18,0.98,6692.189289812375,Import
48,Comp_00048,Nickel,Foil,Industrial,10.0,Local,India,6,1597.65,84.43,0.0,18,1.0,19848.544,Local
48,Comp_00048,Nickel,Foil,Industrial,10.0,Import,China,28,1538.63,47.85,1.98,18,1.04,19854.774354688,Local
49,Comp_00049,Aluminum,Foil,Industrial,2.15,Local,India,3,1514.75,100.56,0.0,18,1.0,4098.041469999999,Import
49,Comp_00049,Aluminum,Foil,Industrial,2.15,Import,USA,35,1180.11,15.68,3.99,18,1.05,3312.50285864085,Import
50,Comp_00050,Aluminum,Sheet,Consumer,8.18,Local,India,12,1577.58,47.07,0.0,18,1.0,15681.771659999999,Import
50,Comp_00050,Aluminum,Sheet,Consumer,8.18,Import,Germany,24,1264.81,16.7,3.36,18,1.11,14191.646666776705,Import
51,Comp_00051,Aluminum,Coil,Consumer,9.81,Local,India,12,1325.66,90.93,0.0,18,1.0,16398.162522000002,Import
51,Comp_00051,Aluminum,Coil,Consumer,9.81,Import,Japan,34,855.71,46.32,4.11,18,1.11,12066.669606890757,Import
52,Comp_00052,Tin,Coil,Automotive,9.5,Local,India,11,1002.95,114.13,0.0,18,1.0,12522.466799999998,Local
52,Comp_00052,Tin,Coil,Automotive,9.5,Import,South Korea,14,987.36,13.31,7.84,18,1.05,12701.811715824,Local
53,Comp_00053,Aluminum,Coil,Wearable,0.85,Local,India,12,990.22,50.24,0.0,18,1.0,1043.5813799999999,Import
53,Comp_00053,Aluminum,Coil,Wearable,0.85,Import,USA,17,662.87,42.04,5.57,18,1.03,768.7981876848299,Import
54,Comp_00054,Aluminum,Foil,Toys,6.06,Local,India,3,1056.69,105.74,0.0,18,1.0,8312.304444,Import
54,Comp_00054,Aluminum,Foil,Toys,6.06,Import,Japan,30,781.21,18.85,4.39,18,1.06,6330.557417959632,Import
55,Comp_00055,Tin,Sheet,Toys,1.37,Local,India,11,1131.07,65.73,0.0,18,1.0,1934.74688,Import
55,Comp_00055,Tin,Sheet,Toys,1.37,Import,South Korea,24,1130.74,41.4,4.09,18,0.98,1932.9345347649678,Import
56,Comp_00056,Copper,Sheet,Consumer,8.08,Local,India,9,1423.78,54.76,0.0,18,1.0,14096.991775999999,Import
56,Comp_00056,Copper,Sheet,Consumer,8.08,Import,Germany,32,1199.2,40.91,4.25,18,1.09,13435.571338678805,Import
57,Comp_00057,Aluminum,Wire,Wearable,7.16,Local,India,13,1526.64,80.93,0.0,18,1.0,13582.037416000001,Import
57,Comp_00057,Aluminum,Wire,Wearable,7.16,Import,South Korea,12,997.79,32.37,3.18,18,0.97,8710.979066973567,Import
58,Comp_00058,Nickel,Sheet,Automotive,8.42,Local,India,10,962.44,82.83,0.0,18,1.0,10385.384612,Local
58,Comp_00058,Nickel,Sheet,Automotive,8.42,Import,Germany,13,1006.0,39.68,2.84,18,1.08,11539.280326795779,Local
59,Comp_00059,Nickel,Coil,Toys,5.62,Local,India,11,1310.57,85.16,0.0,18,1.0,9255.923068,Import
59,Comp_00059,Nickel,Coil,Toys,5.62,Import,USA,35,972.3,28.15,4.86,18,1.0,6957.0250130919985,Import
60,Comp_00060,Silver,Sheet,Industrial,9.34,Local,India,7,905.27,58.03,0.0,18,1.0,10616.721959999999,Import
60,Comp_00060,Silver,Sheet,Industrial,9.34,Import,China,20,654.49,18.03,0.7,18,1.11,8284.88600522448,Import
61,Comp_00061,Aluminum,Coil,Industrial,9.83,Local,India,13,978.43,71.83,0.0,18,1.0,12182.385844,Import
61,Comp_00061,Aluminum,Coil,Industrial,9.83,Import,USA,31,1035.86,10.27,2.06,18,0.98,12136.761604300533,Import
62,Comp_00062,Copper,Sheet,Wearable,5.76,Local,India,7,1095.99,101.56,0.0,18,1.0,8139.507839999999,Local
62,Comp_00062,Copper,Sheet,Wearable,5.76,Import,China,29,1188.05,45.55,4.06,18,1.0,8724.944498687999,Local
63,Comp_00063,Tin,Sheet,Industrial,5.11,Local,India,4,1552.41,65.65,0.0,18,1.0,9756.578188000001,Import
63,Comp_00063,Tin,Sheet,Industrial,5.11,Import,Germany,19,971.67,26.83,4.39,18,1.06,6662.1704451302,Import
64,Comp_00064,Silver,Wire,Toys,0.97,Local,India,10,997.18,40.22,0.0,18,1.0,1187.4080399999998,Import
64,Comp_00064,Silver,Wire,Toys,0.97,Import,South Korea,32,895.29,33.58,6.35,18,0.97,1096.7759195001897,Import
65,Comp_00065,Nickel,Wire,Toys,1.33,Local,India,13,1411.61,115.07,0.0,18,1.0,2395.971592,Import
65,Comp_00065,Nickel,Wire,Toys,1.33,Import,USA,31,1114.63,56.32,0.38,18,1.11,2047.5860842067402,Import
66,Comp_00066,Copper,Foil,Consumer,1.72,Local,India,12,1014.99,105.17,0.0,18,1.0,2273.476736,Import
66,Comp_00066,Copper,Foil,Consumer,1.72,Import,USA,34,930.62,55.39,7.02,18,1.03,2205.9412663961757,Import
67,Comp_00067,Silver,Sheet,Automotive,7.5,Local,India,2,1251.9,58.58,0.0,18,1.0,11597.748,Import
67,Comp_00067,Silver,Sheet,Automotive,7.5,Import,USA,30,996.19,36.59,7.25,18,1.07,10488.953700225,Import
68,Comp_00068,Aluminum,Coil,Wearable,3.42,Local,India,14,997.49,103.52,0.0,18,1.0,4443.2359559999995,Import
68,Comp_00068,Aluminum,Coil,Wearable,3.42,Import,China,36,845.58,47.07,6.31,18,0.98,3753.09464498892,Import
69,Comp_00069,Silver,Foil,Wearable,7.47,Local,India,11,923.47,85.59,0.0,18,1.0,8894.460276,Import
69,Comp_00069,Silver,Foil,Wearable,7.47,Import,Japan,31,782.17,47.73,6.57,18,0.97,7561.97215325766,Import
70,Comp_00070,Silver,Wire,Consumer,4.03,Local,India,5,1458.11,51.99,0.0,18,1.0,7181.12954,Local
70,Comp_00070,Silver,Wire,Consumer,4.03,Import,USA,28,1401.43,46.0,5.55,18,1.06,7701.028419552262,Local
71,Comp_00071,Aluminum,Foil,Consumer,1.9,Local,India,9,1535.92,86.67,0.0,18,1.0,3637.8467800000003,Import
71,Comp_00071,Aluminum,Foil,Consumer,1.9,Import,Germany,20,1246.86,24.4,1.23,18,1.07,3087.1874849121195,Import
72,Comp_00072,Copper,Foil,Consumer,5.97,Local,India,6,971.55,113.5,0.0,18,1.0,7643.743229999999,Local
72,Comp_00072,Copper,Foil,Consumer,5.97,Import,China,19,1031.06,45.36,6.17,18,1.02,8211.832568966087,Local
73,Comp_00073,Aluminum,Foil,Automotive,9.26,Local,India,6,1215.59,49.06,0.0,18,1.0,13818.577619999996,Import
73,Comp_00073,Aluminum,Foil,Automotive,9.26,Import,USA,32,829.96,19.32,7.37,18,1.12,11159.50334271898,Import
74,Comp_00074,Silver,Coil,Automotive,7.47,Local,India,11,1043.91,103.02,0.0,18,1.0,10109.729178,Import
74,Comp_00074,Silver,Coil,Automotive,7.47,Import,Germany,34,800.42,29.91,6.91,18,1.13,8841.99187536989,Import
75,Comp_00075,Aluminum,Sheet,Wearable,4.58,Local,India,4,1057.22,76.2,0.0,18,1.0,6125.455048,Import
75,Comp_00075,Aluminum,Sheet,Wearable,4.58,Import,China,29,765.55,38.88,3.35,18,1.13,5077.204640739659,Import
76,Comp_00076,Silver,Coil,Wearable,6.36,Local,India,8,909.17,93.08,0.0,18,1.0,7521.6858,Local
76,Comp_00076,Silver,Coil,Wearable,6.36,Import,South Korea,29,988.97,32.95,3.32,18,0.97,7686.208364696063,Local
77,Comp_00077,Copper,Coil,Automotive,3.17,Local,India,9,1178.12,74.14,0.0,18,1.0,4684.203755999999,Local
77,Comp_00077,Copper,Coil,Automotive,3.17,Import,USA,38,1235.88,20.26,5.0,18,1.03,5081.662742646,Local
78,Comp_00078,Tin,Foil,Wearable,4.59,Local,India,3,1267.07,75.26,0.0,18,1.0,7270.327745999999,Import
78,Comp_00078,Tin,Foil,Wearable,4.59,Import,USA,13,1075.12,48.27,1.46,18,1.12,6914.139332579135,Import
79,Comp_00079,Tin,Sheet,Wearable,6.48,Local,India,13,1186.11,42.03,0.0,18,1.0,9390.849696,Local
79,Comp_00079,Tin,Sheet,Wearable,6.48,Import,USA,17,1209.71,53.35,0.22,18,0.99,9582.318187561152,Local
80,Comp_00080,Silver,Wire,Automotive,8.02,Local,India,9,1024.98,92.22,0.0,18,1.0,10572.733919999999,Import
80,Comp_00080,Silver,Wire,Automotive,8.02,Import,Japan,23,665.95,22.16,4.83,18,1.11,7577.445291396948,Import
81,Comp_00081,Nickel,Foil,Industrial,4.12,Local,India,11,1126.79,46.95,0.0,18,1.0,5706.254384,Import
81,Comp_00081,Nickel,Foil,Industrial,4.12,Import,South Korea,28,724.25,20.39,0.98,18,1.13,4130.849711678976,Import
82,Comp_00082,Nickel,Sheet,Toys,9.12,Local,India,3,1337.33,66.87,0.0,18,1.0,15111.438719999995,Import
82,Comp_00082,Nickel,Sheet,Toys,9.12,Import,China,29,1045.16,11.71,4.99,18,1.03,12299.390103592224,Import
83,Comp_00083,Tin,Foil,Consumer,2.27,Local,India,2,1582.18,102.38,0.0,18,1.0,4512.262416,Local
83,Comp_00083,Tin,Foil,Consumer,2.27,Import,Germany,23,1636.34,34.37,3.77,18,0.99,4597.438706671337,Local
84,Comp_00084,Aluminum,Foil,Automotive,5.46,Local,India,7,1343.43,60.63,0.0,18,1.0,9046.077768000001,Import
84,Comp_00084,Aluminum,Foil,Automotive,5.46,Import,South Korea,35,1239.35,31.09,4.21,18,0.98,8359.191618706654,Import
85,Comp_00085,Aluminum,Sheet,Toys,5.34,Local,India,3,1470.54,79.85,0.0,18,1.0,9769.317468,Import
85,Comp_00085,Aluminum,Sheet,Toys,5.34,Import,South Korea,35,1289.79,42.57,5.76,18,0.97,8612.674349877503,Import
86,Comp_00086,Aluminum,Foil,Wearable,6.01,Local,India,8,1320.36,93.2,0.0,18,1.0,10024.684808,Import
86,Comp_00086,Aluminum,Foil,Wearable,6.01,Import,Germany,30,1170.69,51.91,3.07,18,1.05,9383.4478759098,Import
87,Comp_00087,Nickel,Sheet,Wearable,1.93,Local,India,14,963.24,101.68,0.0,18,1.0,2425.248808,Import
87,Comp_00087,Nickel,Sheet,Wearable,1.93,Import,USA,13,765.44,24.43,5.75,18,1.01,1921.30664752935,Import
88,Comp_00088,Tin,Coil,Industrial,4.89,Local,India,4,1088.94,83.19,0.0,18,1.0,6763.424526,Import
88,Comp_00088,Tin,Coil,Industrial,4.89,Import,China,39,977.37,12.57,7.64,18,0.98,6025.588980911136,Import
89,Comp_00089,Tin,Sheet,Industrial,3.51,Local,India,14,1146.08,73.02,0.0,18,1.0,5049.268379999999,Import
89,Comp_00089,Tin,Sheet,Industrial,3.51,Import,Japan,16,1082.13,31.74,0.61,18,0.97,4502.321609194421,Import
90,Comp_00090,Nickel,Coil,Toys,1.12,Local,India,2,1120.22,104.59,0.0,18,1.0,1618.7088959999999,Import
90,Comp_00090,Nickel,Coil,Toys,1.12,Import,USA,32,748.77,57.51,4.17,18,0.97,1076.713889741952,Import
91,Comp_00091,Silver,Foil,Industrial,6.95,Local,India,10,1494.44,59.97,0.0,18,1.0,12747.71641,Import
91,Comp_00091,Silver,Foil,Industrial,6.95,Import,Germany,18,1379.86,44.66,7.55,18,0.96,12061.935747129599,Import
92,Comp_00092,Copper,Coil,Toys,5.72,Local,India,6,1540.84,42.72,0.0,18,1.0,10688.396576,Local
92,Comp_00092,Copper,Coil,Toys,5.72,Import,Germany,17,1487.7,19.63,7.77,18,1.14,12499.398469004305,Local
93,Comp_00093,Nickel,Coil,Wearable,3.26,Local,India,9,1480.24,42.96,0.0,18,1.0,5859.44576,Import
93,Comp_00093,Nickel,Coil,Wearable,3.26,Import,Germany,11,1058.38,16.03,7.08,18,1.06,4691.199226318624,Import
94,Comp_00094,Nickel,Coil,Automotive,5.43,Local,India,2,1363.16,99.03,0.0,18,1.0,9368.836206,Local
94,Comp_00094,Nickel,Coil,Automotive,5.43,Import,Germany,39,1421.76,40.79,3.34,18,1.04,10071.504603532321,Local
95,Comp_00095,Aluminum,Coil,Industrial,5.34,Local,India,8,1557.35,103.9,0.0,18,1.0,10467.868499999999,Import
95,Comp_00095,Aluminum,Coil,Industrial,5.34,Import,China,26,941.8,12.63,3.22,18,1.05,6518.092208223959,Import
96,Comp_00096,Nickel,Coil,Automotive,7.71,Local,India,6,1192.44,73.71,0.0,18,1.0,11519.179470000001,Import
96,Comp_00096,Nickel,Coil,Automotive,7.71,Import,Japan,22,1152.06,10.17,2.84,18,1.01,10982.770501060295,Import
97,Comp_00097,Tin,Sheet,Industrial,0.52,Local,India,10,912.51,119.02,0.0,18,1.0,632.946808,Import
97,Comp_00097,Tin,Sheet,Industrial,0.52,Import,South Korea,13,597.45,29.58,1.75,18,1.14,446.2856679996001,Import
98,Comp_00098,Silver,Coil,Consumer,4.23,Local,India,12,1515.38,115.58,0.0,18,1.0,8140.773744,Local
98,Comp_00098,Silver,Coil,Consumer,4.23,Import,Japan,16,1593.97,59.46,7.93,18,1.0,8907.3878908086,Local
99,Comp_00099,Silver,Coil,Industrial,8.32,Local,India,10,984.24,43.76,0.0,18,1.0,10092.4928,Import
99,Comp_00099,Silver,Coil,Industrial,8.32,Import,China,12,699.05,19.32,6.61,18,1.11,8345.924336410753,Import
100,Comp_00100,Copper,Coil,Consumer,9.95,Local,India,3,1021.73,71.7,0.0,18,1.0,12837.96163,Import
100,Comp_00100,Copper,Coil,Consumer,9.95,Import,South Korea,12,863.97,59.82,6.53,18,0.99,11438.931686358326,Import
101,Comp_00101,Copper,Foil,Consumer,5.84,Local,India,4,964.04,110.2,0.0,18,1.0,7402.802688,Import
101,Comp_00101,Copper,Foil,Consumer,5.84,Import,China,12,710.0,33.83,7.65,18,1.12,6180.17256096128,Import
102,Comp_00102,Copper,Foil,Wearable,0.96,Local,India,9,1185.92,69.82,0.0,18,1.0,1422.5022719999997,Import
102,Comp_00102,Copper,Foil,Wearable,0.96,Import,South Korea,27,1124.08,12.44,0.65,18,0.99,1282.8600972633596,Import
103,Comp_00103,Nickel,Foil,Industrial,8.53,Local,India,14,1246.6,78.45,0.0,18,1.0,13337.158269999998,Local
103,Comp_00103,Nickel,Foil,Industrial,8.53,Import,South Korea,17,1312.99,38.57,5.42,18,1.06,15201.808095202847,Local
104,Comp_00104,Copper,Sheet,Wearable,8.69,Local,India,10,1071.7,52.59,0.0,18,1.0,11528.694517999998,Import
104,Comp_00104,Copper,Sheet,Wearable,8.69,Import,Japan,30,822.0,21.93,5.44,18,1.07,9763.316858785245,Import
105,Comp_00105,Silver,Coil,Industrial,8.73,Local,India,11,920.47,106.07,0.0,18,1.0,10574.799156,Local
105,Comp_00105,Silver,Coil,Industrial,8.73,Import,South Korea,16,929.65,21.43,1.29,18,1.11,11015.465383796325,Local
106,Comp_00106,Silver,Wire,Toys,2.94,Local,India,2,1331.85,118.49,0.0,18,1.0,5031.519528,Import
106,Comp_00106,Silver,Wire,Toys,2.94,Import,USA,33,876.25,28.83,6.55,18,0.98,3278.65587325584,Import
107,Comp_00107,Tin,Foil,Toys,3.48,Local,India,14,1342.84,114.56,0.0,18,1.0,5984.6673599999995,Import
107,Comp_00107,Tin,Foil,Toys,3.48,Import,China,13,1335.32,18.69,0.54,18,1.01,5646.032552385454,Import
